Буратинський Вячеслав Васильович,1952-10-26,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Buratinski/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1306%3A2012-03-05-10-50-03&Itemid=266&lang=uk
Маслов Юрій Костянтинович,,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Maslov/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&id=1165%3A2012-03-06-00-42-03&catid=105&Itemid=266&lang=uk
Страшилін В’ячеслав Михайлович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1393%3A2012-03-07-10-19-13&Itemid=266&lang=uk
Пундик Микола Володимирович,,http://oblrada.odessa.gov.ua/images/stories/kerivn/pundik.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&id=1414%3A2012-03-12-08-46-42&catid=105&Itemid=266&lang=uk
Сошенко Олександр Васильович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1390%3A2012-03-07-10-17-30&Itemid=266&lang=uk
Немировський Володимир Леонідович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1363%3A2012-03-07-09-33-15&Itemid=266&lang=uk
Бабанський Василь Маркович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1296%3A2012-03-05-10-46-21&Itemid=266&lang=uk
Макосій Дмитро Іванович,,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Makosi/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1356%3A2012-03-07-09-20-40&Itemid=266&lang=uk
Садаклієв Михайло Михайлович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1383%3A2012-03-07-10-11-52&Itemid=266&lang=uk
Жовнір Михайло Васильович,1965-11-19,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Jovnir/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1328%3A2012-03-06-09-25-14&Itemid=266&lang=uk
Арутюнян Кероб Лендрушович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1294%3A2012-03-05-10-43-28&Itemid=266&lang=uk
Поджаров Іван Іванович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1372%3A2012-03-07-10-02-36&Itemid=266&lang=uk
Дорошенко Анатолій Іванович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1322%3A2012-03-06-08-57-54&Itemid=266&lang=uk
Крижановська Дар’я Леонідівна,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1346%3A2012-03-06-15-44-34&Itemid=266&lang=uk
Кожухаренко Наталя Григорівна,1956-05-18,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Kojyharenko/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&id=1202%3A2012-03-06-22-03-02&catid=105&Itemid=266&lang=uk
Чорбаджи Іван Михайлович,1954-07-03,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Chorbaji/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1406%3A2012-03-07-10-30-03&Itemid=266&lang=uk
Вовченко Ольга Василівна,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1283%3A2012-03-05-12-47-30&Itemid=266&lang=uk
Плужников Юрій Олексійович,1962-05-17,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Plujnikov/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1371%3A2012-03-07-10-02-06&Itemid=266&lang=uk
Оносов Андрій Павлович,1978-09-03,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Onosov/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&id=1514%3A2012-04-03-23-58-04&catid=114&Itemid=266&lang=uk
Волошин Денис Валентинович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1288%3A2012-03-05-12-49-04&Itemid=266&lang=uk
Чорнолуцький Василь Павлович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1407%3A2012-03-07-10-50-41&Itemid=266&lang=uk
Демент Юрій Дмитрович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1317%3A2012-03-05-13-02-00&Itemid=266&lang=uk
Єрьоменко Анатолій Васильович,1950-03-02,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Eremenko_A/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1325%3A2012-03-06-09-09-50&Itemid=266&lang=uk
